,Unnamed: 10,Unnamed: 11,Unnamed: 7,Unnamed: 8,Unnamed: 9,areaCode,areaName,areaType,cumCasesByPublishDate,cumCasesByPublishDateRate,cumCasesBySpecimenDateRate,date,totalPop,pctOfPop
0,,1481642.0,,,,E12000001,North East,region,104212.0,3903.2,,08/12/2020,2669941,3.903157410594466
1,,,,,,E12000002,North West,region,317324.0,4322.5,,08/12/2020,7341196,4.322510936910008
2,,,,,,E12000003,Yorkshire and The Humber,region,222719.0,4047.3,,08/12/2020,5502967,4.047253054579466
3,,,,,,E12000007,London,region,181345.0,2023.5,,08/12/2020,8961989,2.023490544342333
4,,,,,,E12000005,West Midlands,region,176426.0,2973.1,,08/12/2020,5934037,2.973119311524347
5,,,,,,E12000008,South East,region,151860.0,1654.2,,08/12/2020,9180135,1.6542240391889662
6,,,,,,E12000004,East Midlands,region,146710.0,3033.8,,08/12/2020,4835928,3.0337507092744143
7,,,,,,E12000006,East,region,96369.0,1545.3,,08/12/2020,6236072,1.545347776613227
8,,,,,,E12000009,South West,region,84677.0,1505.5,,08/12/2020,5624696,1.505450250111295
682,,,,,,S92000003,Scotland,nation,101475.0,1857.4,,08/12/2020,5454000,1.8605610561056105
1023,,,,,,W92000004,Wales,nation,91792.0,2911.4,,08/12/2020,3136000,2.9270408163265307
